	NRxnMetInHMR2	NRxnMetInList	
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform C (protein)[g]	2.0000	0.0000	
(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)[g]	3.0000	0.0000	
(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)[r]	3.0000	0.0000	
(Glc)3 (GlcNAc)2 (Man)9 (PP-Dol)1[r]	2.0000	0.0000	
(indol-3-yl)acetamide[c]	1.0000	0.0000	
(R)-1,2-dimethyl-5,6-dihydroxy-tetrahydroisoquinoline[c]	1.0000	0.0000	
(R)-3-hydroxybutanoate[c]	13.0000	11.0000	
(R)-3-hydroxybutanoate[m]	3.0000	1.0000	
(R)-3-hydroxybutanoate[s]	12.0000	11.0000	
(R)-3-hydroxybutanoyl-[ACP][c]	2.0000	2.0000	
(R)-3-hydroxybutanoyl-CoA[m]	1.0000	0.0000	
(R)-3-hydroxydecanoyl-[ACP][c]	2.0000	2.0000	
(R)-3-hydroxyoctanoyl-[ACP][c]	2.0000	2.0000	
(R)-3-hydroxypalmitoyl-[ACP][c]	2.0000	2.0000	
(R)-4-phosphopantothenoyl-cysteine[c]	3.0000	2.0000	
(R)-4-phosphopantothenoyl-cysteine[m]	2.0000	1.0000	
(R)-5-diphosphomevalonate[c]	2.0000	2.0000	
(R)-5-phosphomevalonate[c]	2.0000	2.0000	
(R)-methylmalonyl-CoA[m]	4.0000	0.0000	
(R)-mevalonate[c]	3.0000	2.0000	
(R)-mevalonate[p]	2.0000	0.0000	
(R)-S-lactoylglutathione[c]	4.0000	3.0000	
(R)-S-lactoylglutathione[m]	2.0000	0.0000	
(S)-2-aminobutanoate[c]	2.0000	0.0000	
(S)-3-hydroxy-11-cis-octadecenoyl-CoA[m]	2.0000	2.0000	
